ts_ssl,uid,id.orig_h_ssl,id.orig_p_ssl,id.resp_h_ssl,id.resp_p_ssl,version,cipher,curve,server_name,resumed,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,ja3,ja3s,last_alert,next_protocol,ts_conn,id.orig_h_conn,id.orig_p_conn,id.resp_h_conn,id.resp_p_conn,proto,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service
1499083331.795216,CSVaXw2ZTG4o5Fyc7e,192.168.10.9,1094,172.217.10.238,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,safebrowsing.google.com,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083331.758531,192.168.10.9,1094.0,172.217.10.238,443.0,tcp,181.85162091255188,20541.0,65668.0,SF,True,False,22434.0,ShADadCGgctFf,45.0,5774.0,70.0,67089.0,ssl
1499083331.939083,CeB85l2wDi1fRAe2zj,192.168.10.9,1097,54.192.37.14,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,tiles-cloudfront.cdn.mozilla.net,False,True,CsxuknGIti,"['6442cb8d30d303bc67c685ba319e9497aa39aeffc3caca9a707f151071ab3ca8', '154c433c491929c5ef686e838e323664a00e6a0d822ccc958fb4dab03e49a08f']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,76cc3e2d3028143b23ec18e27dbd7ca9,,http/1.1,1499083331.906229,192.168.10.9,1097.0,54.192.37.14,443.0,tcp,115.4925549030304,744.0,6553.0,SF,True,False,0.0,ShADadTTFf,21.0,1607.0,21.0,7537.0,ssl
1499083331.939418,CrcB1p3XeLGQF35oYg,192.168.10.9,1098,54.192.37.184,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,normandy-cloudfront.cdn.mozilla.net,False,True,CsxuknGIti,"['6442cb8d30d303bc67c685ba319e9497aa39aeffc3caca9a707f151071ab3ca8', '154c433c491929c5ef686e838e323664a00e6a0d822ccc958fb4dab03e49a08f']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,76cc3e2d3028143b23ec18e27dbd7ca9,,http/1.1,1499083331.907717,192.168.10.9,1098.0,54.192.37.184,443.0,tcp,5.564378023147583,369.0,3710.0,SF,True,False,0.0,ShADadtFf,9.0,753.0,8.0,4300.0,ssl
1499083332.125162,CDpsWz1BKgPScbp6H9,192.168.10.9,1099,172.217.10.46,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,apis.google.com,False,True,CsxknGIti,"['b48a9852c66579ce4b5dfeb4a1f9726cb7b1385493f0c0c19737ec3400cfa2c7', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,ab41313cfec25328b20865eb1388e0a2,,h2,1499083332.088502,192.168.10.9,1099.0,172.217.10.46,443.0,tcp,0.410654067993164,975.0,47668.0,SF,True,False,8580.0,ShADadgcFf,29.0,2147.0,41.0,46460.0,ssl
1499083334.47767,COyL2q4pTObFuKXdI3,192.168.10.12,53278,54.192.37.119,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,firefox.settings.services.mozilla.com,False,True,CsxuknGIti,"['ee6ddb1ac9614695a2c37579edb7844fa19fde18a490d1738e19cf0a49541918', '154c433c491929c5ef686e838e323664a00e6a0d822ccc958fb4dab03e49a08f']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,76cc3e2d3028143b23ec18e27dbd7ca9,,http/1.1,1499083334.447527,192.168.10.12,53278.0,54.192.37.119,443.0,tcp,120.91039514541626,6804.0,95981.0,SF,True,False,26110.0,ShADadcggcFf,72.0,10556.0,74.0,79519.0,ssl
1499083336.978332,C25VMc1DzT1qgrsA18,192.168.10.9,1103,216.58.217.68,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,www.google.com,False,True,CsxknGIti,"['871c644d2d65d6d0abd7ca146f7e167e84c790908a9f2af2f14a371a46224c58', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,ab41313cfec25328b20865eb1388e0a2,,h2,1499083336.936626,192.168.10.9,1103.0,216.58.217.68,443.0,tcp,181.7173080444336,1055.0,4710.0,SF,True,False,0.0,ShADadtFf,22.0,1959.0,20.0,5568.0,ssl
1499083336.974417,CMnqcU1ndq74yFQN69,192.168.10.9,1102,172.217.11.14,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,safebrowsing-cache.google.com,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083336.934051,192.168.10.9,1102.0,172.217.11.14,443.0,tcp,184.74199199676514,53227.0,3126437.0,SF,True,False,2131341.0,ShADadCGgcgcgGcCtFf,1152.0,59716.0,1164.0,1470249.0,ssl
1499083338.572545,Cqir6N3gwW7XcsuV69,192.168.10.9,1105,104.88.29.71,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,javadl-esd-secure.oracle.com,False,True,CsxknGIi,"['3df1dcae18191d2dd593f646220882d286ff9b43fb057cdc5dd89c3639d25fb1', '074541ecdf88ed992ed5ade3ecddef27a26ba1b44480a195c0a8dadae2521d8e']",[],1.0,187dfde7edc8ceddccd3deeccc21daeb,303951d4c50efb2e991652225a6f02b1,,,1499083338.508125,192.168.10.9,1105.0,104.88.29.71,443.0,tcp,2.186890840530395,592.0,12815.0,RSTO,True,False,3655.0,ShADadcgR,13.0,1124.0,14.0,10467.0,ssl
1499083330.315682,CjWqwK22dZGPV2Ddh4,192.168.10.9,1088,35.164.51.247,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,search.services.mozilla.com,False,False,Cs,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083330.23075,192.168.10.9,1088.0,35.164.51.247,443.0,tcp,5.27648401260376,361.0,3048.0,SF,True,False,1506.0,ShADadcgFfR,9.0,733.0,6.0,1786.0,ssl
1499083334.479681,CrP94tRXrirk1CCpd,192.168.10.12,53280,54.192.37.119,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,firefox.settings.services.mozilla.com,False,False,Csx,"['ee6ddb1ac9614695a2c37579edb7844fa19fde18a490d1738e19cf0a49541918', '154c433c491929c5ef686e838e323664a00e6a0d822ccc958fb4dab03e49a08f']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,76cc3e2d3028143b23ec18e27dbd7ca9,,http/1.1,1499083334.447893,192.168.10.12,53280.0,54.192.37.119,443.0,tcp,5.106974124908447,371.0,3734.0,SF,True,False,580.0,ShADadgFf,10.0,899.0,7.0,4106.0,ssl
1499083364.96639,C4UevmiN7JysvUJ6,192.168.10.9,1114,54.148.59.150,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,incoming.telemetry.mozilla.org,True,True,CsiI,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083364.881334,192.168.10.9,1114.0,54.148.59.150,443.0,tcp,5.85102105140686,321.0,176.0,SF,True,False,0.0,ShADadFfR,7.0,613.0,7.0,460.0,ssl
1499083316.280207,C1W57n3WRts2DNr6i1,192.168.10.12,34504,52.35.5.132,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,shavar.services.mozilla.com,False,False,Cs,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083316.19478,192.168.10.12,34504.0,52.35.5.132,443.0,tcp,61.43613386154175,930.0,3396.0,SF,True,False,1627.0,ShADadcgFf,16.0,1770.0,12.0,2401.0,ssl
1499083385.106671,CwuOQwv54Q63Cdvek,192.168.10.9,1117,172.217.10.46,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,x25519,redirector.gvt1.com,False,True,CsxknGIti,"['3652a06d2a0794cc42cb2ae77ec0f8820079b92f0e99feef2e54d75de0f5f118', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,84480cf8cf0e732666092640e581e1a5,,h2,1499083385.069906,192.168.10.9,1117.0,172.217.10.46,443.0,tcp,180.7534101009369,944.0,5926.0,SF,True,False,0.0,ShADadtFf,23.0,1900.0,21.0,6870.0,ssl
1499083385.294794,CUgoZ2MHHDSb251Uf,192.168.10.9,1118,206.126.112.141,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,x25519,r2---sn-9pm-t0ae.gvt1.com,False,True,CsxknGIti,"['e21db36458d0341dac41beb51102fc180659b6b34eef6fa76fb34a18b886db56', '9b759d41e3de30f9d2f902027d792b65d950a98bbb6d6d56be7f2528453bf8e9', '3c35cc963eb004451323d3275d05b353235053490d9cd83729a2faf5e7ca1cc0']",[],1.0,0ffee3ba8e615ad22535e7f771690a28,e865964407dd4ac547ba71f0dce88e4f,,,1499083385.279382,192.168.10.9,1118.0,206.126.112.141,443.0,tcp,31.021503925323486,918.0,2894005.0,SF,True,False,2093701.0,ShADadtgcgcgcTfFr,1189.0,51733.0,774.0,1120814.0,ssl
1499083385.875956,CneQnV5vOTy32o4zl,192.168.10.9,1119,206.126.112.141,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,r2---sn-9pm-t0ae.gvt1.com,True,True,CsiI,nan,nan,,1a5fe5677b0e4fbbc854e8908225637d,31664de10b10b9eac390e9757a087b29,,,1499083385.860427,192.168.10.9,1119.0,206.126.112.141,443.0,tcp,5.487607002258301,599.0,147.0,SF,True,False,0.0,ShADadFf,7.0,891.0,6.0,399.0,ssl
1499083330.351308,Cc5DBZ383TOBTNMbf,192.168.10.9,1089,35.167.184.4,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,tiles.services.mozilla.com,False,False,Cs,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083330.266427,192.168.10.9,1089.0,35.167.184.4,443.0,tcp,61.07301998138428,677.0,3365.0,SF,True,False,1528.0,ShADadcgTFf,15.0,1295.0,13.0,2361.0,ssl
1499083330.240629,CZ2mQO2nVWsAydHhq4,192.168.10.9,1086,35.164.51.247,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,search.services.mozilla.com,False,False,Cs,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083330.15568,192.168.10.9,1086.0,35.164.51.247,443.0,tcp,61.45921516418457,699.0,3269.0,SF,True,False,1506.0,ShADadcgTFf,15.0,1317.0,13.0,2287.0,ssl
1499083404.329986,CghO5N1nw3D1m6Ynu2,192.168.10.14,49437,131.253.61.82,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp384r1,login.live.com,False,True,CsxuknGIi,"['3c64cc4e95205a63eb4db4cba4a27f8354220a4026d897e8ba1083762d1e6264', '9e6bc5f9ecc52460e8edc02c644d1be1cb9f2316f41daf3b616a0b2058294b31']",[],1.0,dd755af715117e3882c5365690ce7bd2,15381d64ba148f31a70eb87b53085230,,,1499083401.823158,192.168.10.14,49437.0,131.253.61.82,443.0,tcp,5.460330009460449,5828.0,16817.0,S2,True,False,8222.0,ShADdCaGgcF,14.0,2020.0,15.0,13587.0,ssl
1499083407.538489,CdD85v1nHqBGF1mjV8,192.168.10.14,49446,40.77.228.92,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,watson.telemetry.microsoft.com,False,True,CsxknGIi,"['c80bf8bc5ff349c1c3414329723f0a5b93b7a7696885bb0f8260a06738c5b20e', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,dd755af715117e3882c5365690ce7bd2,649d6810e8392f63dc311eecb6b7098b,,,1499083407.487708,192.168.10.14,49446.0,40.77.228.92,443.0,tcp,0.7875289916992181,4847.0,4444.0,RSTO,True,False,3317.0,ShADdCaGR,9.0,1902.0,8.0,4776.0,ssl
1499083407.608353,CxYFWc1wCWywLKKI5b,192.168.10.14,49447,64.4.54.253,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,settings-win.data.microsoft.com,False,True,CsxknGIi,"['ecf1f9af7e8bd54c8b4c5d824d8d16dd5f2197e2d47186ad6a675e0153b7e31b', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,dd755af715117e3882c5365690ce7bd2,d26ba888ffd53c3914cfbd00cf174690,,,1499083407.54416,192.168.10.14,49447.0,64.4.54.253,443.0,tcp,85.70374608039856,7086.0,5564.0,SF,True,False,0.0,ShADdFf,18.0,7818.0,14.0,6136.0,ssl
1499083411.089175,C9uHT23VPsGhNcGDPb,192.168.10.14,49449,191.232.80.53,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,sls.update.microsoft.com,False,True,CsxknGIi,"['460950a85b2343c7e1cc7006749eb77c9b8d9755661f7d803201290a5e9a2545', '6139e2df97dc93bf7e90a303f75b3968fd06c57316b45e94dcff773707cf2754']",[],1.0,dd755af715117e3882c5365690ce7bd2,649d6810e8392f63dc311eecb6b7098b,,,1499083411.0251,192.168.10.14,49449.0,191.232.80.53,443.0,tcp,67.22755002975464,1225.0,4826.0,RSTR,True,False,0.0,ShADdr,9.0,1597.0,8.0,5158.0,ssl
1499083412.207475,Cw9vLT2gJwwBHSGJO8,192.168.10.14,49450,40.83.143.209,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp384r1,wdcp.microsoft.com,False,True,CsxknGIi,"['f3dd064cfae30882c03bd577f0e79762977f788aca9db67661e109ac9ec04312', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,dd755af715117e3882c5365690ce7bd2,649d6810e8392f63dc311eecb6b7098b,,,1499083412.119893,192.168.10.14,49450.0,40.83.143.209,443.0,tcp,66.88138794898987,2243.0,4659.0,SF,True,False,1557.0,ShADdCaGFf,9.0,1058.0,8.0,4991.0,ssl
1499083347.734953,CLZ16ep1ugbuTzAKa,192.168.10.9,1110,35.165.158.113,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,shavar.services.mozilla.com,False,False,Cs,nan,nan,,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,,,1499083347.650598,192.168.10.9,1110.0,35.165.158.113,443.0,tcp,60.48707604408264,926.0,3396.0,SF,True,False,1615.0,ShADadcgTFf,14.0,1503.0,12.0,2265.0,ssl
1499083413.330197,Cxwz4B2xIvF2F4uSu,192.168.10.14,49453,64.4.54.254,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,v10.vortex-win.data.microsoft.com,False,True,CsxknGIi,"['5cec38260f599360d3b6a73ff3c6007e19de397613cd86d56a61f206486f89a0', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,dd755af715117e3882c5365690ce7bd2,d26ba888ffd53c3914cfbd00cf174690,,,1499083413.266352,192.168.10.14,49453.0,64.4.54.254,443.0,tcp,79.98121213912964,17688.0,6602.0,SF,True,False,5391.0,ShADdaCGFf,26.0,13349.0,22.0,7494.0,ssl
1499083416.157515,C8mW0s1OnIIojRAFWf,192.168.10.14,49454,134.170.58.118,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,fe2.update.microsoft.com,False,True,CsxknGIi,"['99529144f810b33ceaa406afb9151b28a49e4aeb93ec788573ced752eeec53fa', '6139e2df97dc93bf7e90a303f75b3968fd06c57316b45e94dcff773707cf2754']",[],1.0,dd755af715117e3882c5365690ce7bd2,649d6810e8392f63dc311eecb6b7098b,,,1499083416.10803,192.168.10.14,49454.0,134.170.58.118,443.0,tcp,7.730075836181641,182798.0,36350.0,SF,True,False,180345.0,ShADdCaGGcgCFf,36.0,19522.0,86.0,25645.0,ssl
1499083418.925482,C5KQjUfycRmpZ8ej8,192.168.10.14,49457,64.4.54.36,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,licensing.mp.microsoft.com,False,True,CsxuknGIi,"['5f828b38564583bcd3d086210115dcef2dd2ff3fd78f0dc30883bd4549918003', '2399983e99703ebd01cea466c10799810c4ba62a8d61b88170a334dcd61bb20f']",[],1.0,dd755af715117e3882c5365690ce7bd2,15381d64ba148f31a70eb87b53085230,,,1499083418.861048,192.168.10.14,49457.0,64.4.54.36,443.0,tcp,0.372199058532714,2907.0,6525.0,SF,True,False,1829.0,ShADdCaGFf,9.0,1450.0,9.0,6897.0,ssl
1499083419.39829,CWxaAC2s8Qn2wXSQm5,192.168.10.14,49458,65.52.98.233,443,TLSv12,TLS_RSA_WITH_AES_128_CBC_SHA256,,activation-v2.sls.microsoft.com,False,True,CsxnGIi,"['6c68f27d9f4ab0d8f642a91da3446568966e5dd362fde7786ba765cde4f39c0f', '83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129']",[],1.0,dd755af715117e3882c5365690ce7bd2,5136dab1dccc3355c7b75aab8de09126,,,1499083419.313073,192.168.10.14,49458.0,65.52.98.233,443.0,tcp,0.802942037582397,18869.0,4474.0,RSTO,True,False,14994.0,ShADdCaGR,10.0,4287.0,13.0,5006.0,ssl
1499083424.576776,CLoK1p1aeaFvpo6S48,192.168.10.14,49459,134.170.58.118,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,secp256r1,fe2.update.microsoft.com,False,True,CsxknGIi,"['99529144f810b33ceaa406afb9151b28a49e4aeb93ec788573ced752eeec53fa', '6139e2df97dc93bf7e90a303f75b3968fd06c57316b45e94dcff773707cf2754']",[],1.0,dd755af715117e3882c5365690ce7bd2,649d6810e8392f63dc311eecb6b7098b,,,1499083424.527217,192.168.10.14,49459.0,134.170.58.118,443.0,tcp,3.454900979995727,138070.0,6282.0,SF,True,False,129417.0,ShADdCaGGCFf,15.0,9265.0,57.0,8574.0,ssl
1499083428.376902,C9bUib4ImNijcRTfS6,192.168.10.14,49460,104.97.95.20,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp256r1,geover-prod.do.dsp.mp.microsoft.com,False,True,CsxknGIti,"['1a3c201b0a7a8ede69c42ccc1494a0abedf52cfb88bf82124cc5efde5732240f', '2399983e99703ebd01cea466c10799810c4ba62a8d61b88170a334dcd61bb20f', '16af57a9f676b0ab126095aa5ebadef22ab31119d644ac95cd4b93dbf3f26aeb']",[],1.0,dd755af715117e3882c5365690ce7bd2,e35df3e00ca4ef31d42b34bebaa2f86e,,,1499083428.352984,192.168.10.14,49460.0,104.97.95.20,443.0,tcp,81.04248595237732,587.0,5384.0,SF,True,False,0.0,ShADadFfR,10.0,999.0,10.0,5796.0,ssl
